id,tc_school_id,tc_session_id,name,match,schedule_parent_teacher_conversation_url,schedule_parent_observation_url,email,hub,email_parent_template
1,3,15,Aster Montessori School,aster,https://calendly.com/aster-appointments/parent-teacher-conversation,https://calendly.com/aster-appointments/parent-observation,Aster Montessori Appointments <dan.grigsby@wildflowerschools.org>,cambridge,
2,3,15,Dandelion Montessori Coop,dandelion,,https://calendly.com/dandelion-appointments/parent-observation,Dandelion Montessori Appointments <dan.grigsby@wildflowerschools.org>,cambridge,
3,3,15,Snapdragon Montessori School,snapdragon,https://calendly.com/snapdragon-appointments/parent-teacher-conversation,https://calendly.com/snapdragon-appointments/parent-observation,Snapdragon Montessori Appointments <dan.grigsby@wildflowerschools.org>,cambridge,
4,3,15,Snowdrop Montessori,snowdrop,https://calendly.com/snowdrop-appointments/parent-teacher-conversation,https://calendly.com/snowdrop-appointments/parent-observation,Snowdrop Montessori Appointments <dan.grigsby@wildflowerschools.org>,cambridge,
5,3,15,Violeta Montessori School,violeta,https://calendly.com/violeta-appointments/parent-teacher-conversation,https://calendly.com/violeta-appointments/parent-observation,Violeta Montessori Appointments <dan.grigsby@wildflowerschools.org>,cambridge,
6,3,15,Wildflower Montessori School,wildflower,https://calendly.com/wildflower-appointments/parent-teacher-conversation,https://calendly.com/wildflower-appointments/parent-observation,Wildflower Montessori Appointments <dan.grigsby@wildflowerschools.org>,cambridge,
7,3,15,Wild Rose Montessori School,wild rose,,https://calendly.com/wild-rose-appointments/parent-observation,Wild Rose Montessori Appointments <dan.grigsby@wildflowerschools.org>,cambridge,email_parent_wild_rose
8,3,15,Aster Montessori School,aster,https://calendly.com/aster-appointments/parent-teacher-conversation,https://calendly.com/aster-appointments/parent-observation,Aster Montessori Appointments <dan.grigsby@wildflowerschools.org>,sandbox,
9,3,15,Dandelion Montessori Coop,dandelion,,https://calendly.com/dandelion-appointments/parent-observation,Dandelion Montessori Appointments <dan.grigsby@wildflowerschools.org>,sandbox,
10,3,15,Snapdragon Montessori School,snapdragon,https://calendly.com/snapdragon-appointments/parent-teacher-conversation,https://calendly.com/snapdragon-appointments/parent-observation,Snapdragon Montessori Appointments <dan.grigsby@wildflowerschools.org>,sandbox,
11,3,15,Snowdrop Montessori,snowdrop,https://calendly.com/snowdrop-appointments/parent-teacher-conversation,https://calendly.com/snowdrop-appointments/parent-observation,Snowdrop Montessori Appointments <dan.grigsby@wildflowerschools.org>,sandbox,
12,3,15,Violeta Montessori School,violeta,https://calendly.com/violeta-appointments/parent-teacher-conversation,https://calendly.com/violeta-appointments/parent-observation,Violeta Montessori Appointments <dan.grigsby@wildflowerschools.org>,sandbox,
13,3,15,Wildflower Montessori School,wildflower,https://calendly.com/wildflower-appointments/parent-teacher-conversation,https://calendly.com/wildflower-appointments/parent-observation,Wildflower Montessori Appointments <dan.grigsby@wildflowerschools.org>,sandbox,
14,3,15,Wild Rose Montessori School,wild rose,,https://calendly.com/wild-rose-appointments/parent-observation,Wild Rose Montessori Appointments <dan.grigsby@wildflowerschools.org>,sandbox,email_parent_wild_rose
15,3,15,Marigold Montessori School,marigold,https://calendly.com/marigold-appointments/parent-teacher-conversation,https://calendly.com/marigold-appointments/parent-observation,Marigold Montessori Appointments <dan.grigsby@wildflowerschools.org>,haverhill,
16,3,15,Zinnia Montessori School,zinnia,https://calendly.com/zinnia-appointments/parent-teacher-conversation,https://calendly.com/zinnia-appointments/parent-observation,Zinnia Montessori Appointments <dan.grigsby@wildflowerschools.org>,haverhill,
