id,tc_school_id,tc_session_id,name,match,schedule_parent_teacher_conversation_url,schedule_parent_observation_url,email,hub,email_parent_template
1,409,2328,Aster Montessori School,aster,https://calendly.com/aster-appointments/parent-teacher-conversation,https://calendly.com/aster-appointments/parent-observation,Aster Montessori Appointments <aster-appointments@wildflowerschools.org>,cambridge,
2,435,2456,Dandelion Montessori Coop,dandelion,,https://calendly.com/dandelion-appointments/parent-observation,Dandelion Montessori Appointments <dandelion-appointments@wildflowerschools.org>,cambridge,
3,415,2364,Snapdragon Montessori School,snapdragon,https://calendly.com/snapdragon-appointments/parent-teacher-conversation,https://calendly.com/snapdragon-appointments/parent-observation,Snapdragon Montessori Appointments <snapdragon-appointments@wildflowerschools.org>,cambridge,
4,327,1851,Snowdrop Montessori,snowdrop,https://calendly.com/snowdrop-appointments/parent-teacher-conversation,https://calendly.com/snowdrop-appointments/parent-observation,Snowdrop Montessori Appointments <snowdrop-appointments@wildflowerschools.org>,cambridge,
5,279,1602,Violeta Montessori School,violeta,https://calendly.com/violeta-appointments/parent-teacher-conversation,https://calendly.com/violeta-appointments/parent-observation,Violeta Montessori Appointments <violeta-appointments@wildflowerschools.org>,cambridge,
6,297,1712,Wildflower Montessori School,wildflower,https://calendly.com/wildflower-appointments/parent-teacher-conversation,https://calendly.com/wildflower-appointments/parent-observation,Wildflower Montessori Appointments <wildflower-appointments@wildflowerschools.org>,cambridge,
7,222,1308,Wild Rose Montessori School,wild rose,,https://calendly.com/wild-rose-appointments/parent-observation,Wild Rose Montessori Appointments <wild-rose-appointments@wildflowerschools.org>,cambridge,email_parent_wild_rose
8,300,1730,Aster Montessori School,aster,https://calendly.com/aster-appointments/parent-teacher-conversation,https://calendly.com/aster-appointments/parent-observation,Aster Montessori Appointments <qa@wildflowerschools.org>,sandbox,
9,300,1730,Dandelion Montessori Coop,dandelion,,https://calendly.com/dandelion-appointments/parent-observation,Dandelion Montessori Appointments <qa@wildflowerschools.org>,sandbox,
10,300,1730,Snapdragon Montessori School,snapdragon,https://calendly.com/snapdragon-appointments/parent-teacher-conversation,https://calendly.com/snapdragon-appointments/parent-observation,Snapdragon Montessori Appointments <qa@wildflowerschools.org>,sandbox,
11,300,1730,Snowdrop Montessori,snowdrop,https://calendly.com/snowdrop-appointments/parent-teacher-conversation,https://calendly.com/snowdrop-appointments/parent-observation,Snowdrop Montessori Appointments <qa@wildflowerschools.org>,sandbox,
12,300,1730,Violeta Montessori School,violeta,https://calendly.com/violeta-appointments/parent-teacher-conversation,https://calendly.com/violeta-appointments/parent-observation,Violeta Montessori Appointments <qa@wildflowerschools.org>,sandbox,
13,300,1730,Wildflower Montessori School,wildflower,https://calendly.com/wildflower-appointments/parent-teacher-conversation,https://calendly.com/wildflower-appointments/parent-observation,Wildflower Montessori Appointments <qa@wildflowerschools.org>,sandbox,
14,300,1730,Wild Rose Montessori School,wild rose,,https://calendly.com/wild-rose-appointments/parent-observation,Wild Rose Montessori Appointments <qa@wildflowerschools.org>,sandbox,email_parent_wild_rose
15,278,1596,Marigold Montessori School,marigold,https://calendly.com/marigold-appointments/parent-teacher-conversation,https://calendly.com/marigold-appointments/parent-observation,Marigold Montessori Appointments <marigold-appointments@wildflowerschools.org>,haverhill,
16,766,4264,Zinnia Montessori School,zinnia,https://calendly.com/zinnia-appointments/parent-teacher-conversation,https://calendly.com/zinnia-appointments/parent-observation,Zinnia Montessori Appointments <zinnia-appointments@wildflowerschools.org>,haverhill,
17,409,2328,Aster Montessori School,aster,https://calendly.com/aster-appointments/parent-teacher-conversation,https://calendly.com/aster-appointments/parent-observation,Aster Montessori Appointments <aster-appointments@wildflowerschools.org>,cambridge2018,
18,435,2456,Dandelion Montessori Coop,dandelion,,https://calendly.com/dandelion-appointments/parent-observation,Dandelion Montessori Appointments <dandelion-appointments@wildflowerschools.org>,cambridge,
19,415,2364,Snapdragon Montessori School,snapdragon,https://calendly.com/snapdragon-appointments/parent-teacher-conversation,https://calendly.com/snapdragon-appointments/parent-observation,Snapdragon Montessori Appointments <snapdragon-appointments@wildflowerschools.org>,cambridge2018,
20,327,1851,Snowdrop Montessori,snowdrop,https://calendly.com/snowdrop-appointments/parent-teacher-conversation,https://calendly.com/snowdrop-appointments/parent-observation,Snowdrop Montessori Appointments <snowdrop-appointments@wildflowerschools.org>,cambridge2018,
21,279,1602,Violeta Montessori School,violeta,https://calendly.com/violeta-appointments/parent-teacher-conversation,https://calendly.com/violeta-appointments/parent-observation,Violeta Montessori Appointments <violeta-appointments@wildflowerschools.org>,cambridge2018,
22,297,1712,Wildflower Montessori School,wildflower,https://calendly.com/wildflower-appointments/parent-teacher-conversation,https://calendly.com/wildflower-appointments/parent-observation,Wildflower Montessori Appointments <wildflower-appointments@wildflowerschools.org>,cambridge2018,
23,222,1308,Wild Rose Montessori School,wild rose,,https://calendly.com/wild-rose-appointments/parent-observation,Wild Rose Montessori Appointments <wild-rose-appointments@wildflowerschools.org>,cambridge2018,email_parent_wild_rose
24,278,1596,Marigold Montessori School,marigold,https://calendly.com/marigold-appointments/parent-teacher-conversation,https://calendly.com/marigold-appointments/parent-observation,Marigold Montessori Appointments <marigold-appointments@wildflowerschools.org>,haverhill2018,
25,766,4264,Zinnia Montessori School,zinnia,https://calendly.com/zinnia-appointments/parent-teacher-conversation,https://calendly.com/zinnia-appointments/parent-observation,Zinnia Montessori Appointments <zinnia-appointments@wildflowerschools.org>,haverhill2018,
